object_id,phi,theta,time,FILE
"{'s0', 'p', 's1'}",0.0,20.0,0.0,236468282985667760679142264331069179834.png
"{'s0', 'p', 's1'}",45.0,20.0,0.0,234275646045018975357487792881850291459.png
"{'s0', 'p', 's1'}",90.0,20.0,0.0,229209311743827742038207981196835933546.png
"{'s0', 'p', 's1'}",135.0,20.0,0.0,141778845135884204368040887348841007895.png
"{'s0', 'p', 's1'}",180.0,20.0,0.0,117015677386924693398052949978774583295.png
"{'s0', 'p', 's1'}",225.0,20.0,0.0,61293242157489611374854579068727701514.png
"{'s0', 'p', 's1'}",270.0,20.0,0.0,313702720321725332399257448761887394530.png
"{'s0', 'p', 's1'}",315.0,20.0,0.0,47568798834173289532947368870421989988.png
"{'s0', 'p', 's1'}",0.0,60.0,0.0,35828080279805990586794228199876935323.png
"{'s0', 'p', 's1'}",45.0,60.0,0.0,173027204379625556840537575119386651397.png
"{'s0', 'p', 's1'}",90.0,60.0,0.0,338526606080601203936779213588656256634.png
"{'s0', 'p', 's1'}",135.0,60.0,0.0,1640717353076431502984858494428037662.png
"{'s0', 'p', 's1'}",180.0,60.0,0.0,144785170999921009486564693729558825761.png
"{'s0', 'p', 's1'}",225.0,60.0,0.0,90429298005979784777888083502507211436.png
"{'s0', 'p', 's1'}",270.0,60.0,0.0,39235774068782106017520753200648857915.png
"{'s0', 'p', 's1'}",315.0,60.0,0.0,158286912513531281949529641741261569339.png
"{'s0', 'p', 's1'}",0.0,20.0,0.25,234392691133481823838544338415847697568.png
"{'s0', 'p', 's1'}",45.0,20.0,0.25,14731063225799114304318960765552617604.png
"{'s0', 'p', 's1'}",90.0,20.0,0.25,48753194381225414156368910110612746762.png
"{'s0', 'p', 's1'}",135.0,20.0,0.25,125276706771142227781077703971935404425.png
"{'s0', 'p', 's1'}",180.0,20.0,0.25,171199686750282735274608802897300809583.png
"{'s0', 'p', 's1'}",225.0,20.0,0.25,99471656929349083319132870185685082008.png
"{'s0', 'p', 's1'}",270.0,20.0,0.25,260063668682249720605733240144854498617.png
"{'s0', 'p', 's1'}",315.0,20.0,0.25,331057074424296583400014079263416670488.png
"{'s0', 'p', 's1'}",0.0,60.0,0.25,21277480982601223328144432862930372748.png
"{'s0', 'p', 's1'}",45.0,60.0,0.25,54667116843903388622273548573556037635.png
"{'s0', 'p', 's1'}",90.0,60.0,0.25,6266395552853520091829267849677704559.png
"{'s0', 'p', 's1'}",135.0,60.0,0.25,174851239965698322898282530147007895232.png
"{'s0', 'p', 's1'}",180.0,60.0,0.25,29402522360816913609489108459075642552.png
"{'s0', 'p', 's1'}",225.0,60.0,0.25,57402346188559172216569937453066844742.png
"{'s0', 'p', 's1'}",270.0,60.0,0.25,289794311118332990810657565197713765903.png
"{'s0', 'p', 's1'}",315.0,60.0,0.25,305310309994072904800344539324086077504.png
"{'s0', 'p', 's1'}",0.0,20.0,0.5,285683125262367937130764167467210116508.png
"{'s0', 'p', 's1'}",45.0,20.0,0.5,261523084932467336849162237601936823717.png
"{'s0', 'p', 's1'}",90.0,20.0,0.5,65340816240220688585890489853949170498.png
"{'s0', 'p', 's1'}",135.0,20.0,0.5,81113657905221102743753870882075048753.png
"{'s0', 'p', 's1'}",180.0,20.0,0.5,31435735464419681732915550605189675267.png
"{'s0', 'p', 's1'}",225.0,20.0,0.5,133712684846263777598949161393662711837.png
"{'s0', 'p', 's1'}",270.0,20.0,0.5,159491261387585579636112518588138450542.png
"{'s0', 'p', 's1'}",315.0,20.0,0.5,333517530858718429396977430402852636046.png
"{'s0', 'p', 's1'}",0.0,60.0,0.5,12222184819954366653573443799572412006.png
"{'s0', 'p', 's1'}",45.0,60.0,0.5,91871102699617990105763271506218650168.png
"{'s0', 'p', 's1'}",90.0,60.0,0.5,236701832923378392260890541242874157806.png
"{'s0', 'p', 's1'}",135.0,60.0,0.5,255832830346914001257566258262652822316.png
"{'s0', 'p', 's1'}",180.0,60.0,0.5,180690091486259824043872780277817127010.png
"{'s0', 'p', 's1'}",225.0,60.0,0.5,55694662167206650840666819009228636551.png
"{'s0', 'p', 's1'}",270.0,60.0,0.5,246261970206060829835179052357380164425.png
"{'s0', 'p', 's1'}",315.0,60.0,0.5,80322647386177151615734110565841662849.png
"{'s0', 'p', 's1'}",0.0,20.0,0.75,146574912839374171652576969954384127799.png
"{'s0', 'p', 's1'}",45.0,20.0,0.75,216462463653485712703336874128925322064.png
"{'s0', 'p', 's1'}",90.0,20.0,0.75,289451910375751881999143927635313783773.png
"{'s0', 'p', 's1'}",135.0,20.0,0.75,95426793824741299717499622679274763202.png
"{'s0', 'p', 's1'}",180.0,20.0,0.75,131436897346384975605656369522996357884.png
"{'s0', 'p', 's1'}",225.0,20.0,0.75,21268204157029328355978006667235159590.png
"{'s0', 'p', 's1'}",270.0,20.0,0.75,58472234222547352589889580491850394722.png
"{'s0', 'p', 's1'}",315.0,20.0,0.75,209224311629574639420470631876546005079.png
"{'s0', 'p', 's1'}",0.0,60.0,0.75,125884997126874027644208364081014895233.png
"{'s0', 'p', 's1'}",45.0,60.0,0.75,155511791746147200489224019963930738836.png
"{'s0', 'p', 's1'}",90.0,60.0,0.75,140459437293942231375298953522454990118.png
"{'s0', 'p', 's1'}",135.0,60.0,0.75,16901422893926038491024142396030253841.png
"{'s0', 'p', 's1'}",180.0,60.0,0.75,56329532930082212601762116980855491090.png
"{'s0', 'p', 's1'}",225.0,60.0,0.75,168089308445805968288915286638445970639.png
"{'s0', 'p', 's1'}",270.0,60.0,0.75,313511620016869028885178334286954887472.png
"{'s0', 'p', 's1'}",315.0,60.0,0.75,324018663030479876367076986184882908220.png
"{'s0', 'p', 's1'}",0.0,20.0,1.0,289120517865492656751120011480315201717.png
"{'s0', 'p', 's1'}",45.0,20.0,1.0,108674532695487886691656838795096288066.png
"{'s0', 'p', 's1'}",90.0,20.0,1.0,303382877497764378667886134558196795511.png
"{'s0', 'p', 's1'}",135.0,20.0,1.0,338939251581572663190235219535029027068.png
"{'s0', 'p', 's1'}",180.0,20.0,1.0,207871600397398766181138390971708929017.png
"{'s0', 'p', 's1'}",225.0,20.0,1.0,274788951331357920509456692830931604717.png
"{'s0', 'p', 's1'}",270.0,20.0,1.0,147052404757859804561984848749090337462.png
"{'s0', 'p', 's1'}",315.0,20.0,1.0,85564645564534215246032020961897141396.png
"{'s0', 'p', 's1'}",0.0,60.0,1.0,179406299924715959665648577848555984169.png
"{'s0', 'p', 's1'}",45.0,60.0,1.0,313031620985884400754932268592389687849.png
"{'s0', 'p', 's1'}",90.0,60.0,1.0,213844018109753001663735404433683084743.png
"{'s0', 'p', 's1'}",135.0,60.0,1.0,7709488915444176463393954091184199185.png
"{'s0', 'p', 's1'}",180.0,60.0,1.0,18918956281660550048412352274110923075.png
"{'s0', 'p', 's1'}",225.0,60.0,1.0,222083858009479990909641981873167746383.png
"{'s0', 'p', 's1'}",270.0,60.0,1.0,246974929518731983893427584595245708678.png
"{'s0', 'p', 's1'}",315.0,60.0,1.0,42457006826193632897735997366217733006.png
